Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
442;SRCL;Stericycle, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8589121081;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
443;SRE;Sempra Energy;Акции;Акции иностранного эмитента  обыкновенные;;US8168511090;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
444;STT;State Street Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US8574771031;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
445;STX;Seagate Technology Public Limited Company;Акции;Акции иностранного эмитента  обыкновенные;;IE00B58JVZ52;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
446;STZ;Constellation Brands, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US21036P1084;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
447;SWK;Stanley Black & Decker, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8545021011;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
448;SWKS;Skyworks Solutions, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US83088M1027;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
449;SWN;Southwestern Energy Company;Акции;Акции иностранного эмитента  обыкновенные;;US8454671095;ESVUFX;1,00;0,01;USD;18.05.2017 0:00:00
450;SYF;Synchrony Financial;Акции;Акции иностранного эмитента  обыкновенные;;US87165B1035;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
451;SYK;Stryker Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US8636671013;ESXXXX;1,00;0,01;USD;14.06.2017 0:00:00
452;SYMC;Symantec Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US8715031089;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
453;SYY;Sysco Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US8718291078;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
454;T;AT&T INC.;Акции;Акции иностранного эмитента  обыкновенные;;US00206R1023;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
455;TAP;Molson Coors Brewing Company;Акции;Акции иностранного эмитента  обыкновенные класса B;;US60871R2094;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
456;TDC;Teradata Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US88076W1036;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
457;TDG;TransDigm Group Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US8936411003;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
458;TEL;TE Connectivity Ltd.;Акции;Акции иностранного эмитента  обыкновенные;;CH0102993182;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
459;TGNA;TEGNA Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US87901J1051;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
460;TGT;Target Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US87612E1064;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
461;TIF;Tiffany & Co.;Акции;Акции иностранного эмитента  обыкновенные;;US8865471085;ESVUFR;1,00;0,01;USD;27.02.2015 0:00:00
462;TJX;The TJX Companies, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8725401090;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
463;TMK;Torchmark Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US8910271043;ESVUXX;1,00;0,01;USD;31.08.2017 0:00:00
464;TMO;Thermo Fisher Scientific Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8835561023;ESXXXR;1,00;0,01;USD;14.06.2017 0:00:00
465;TPR;Tapestry, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8760301072;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
466;TRIP;TripAdvisor, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8969452015;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
467;TROW;T. Rowe Price Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US74144T1088;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
